id,name,normalized_name,category,subcategory,description,comarca,municipality,province,latitude,longitude,coordinates_source,coordinates_confidence,address,picnic,tables,benches,barbecue,drinking_water,fountain,toilets,bins,parking,shade,playground,sports_area,bathing,dogs_allowed,accessibility,camping,caravan,electricity,showers,picnic_confidence,tables_confidence,benches_confidence,barbecue_confidence,drinking_water_confidence,fountain_confidence,toilets_confidence,bins_confidence,parking_confidence,shade_confidence,playground_confidence,sports_area_confidence,bathing_confidence,dogs_allowed_confidence,accessibility_confidence,camping_confidence,caravan_confidence,electricity_confidence,showers_confidence,picnic_source,tables_source,benches_source,barbecue_source,drinking_water_source,fountain_source,toilets_source,bins_source,parking_source,shade_source,playground_source,sports_area_source,bathing_source,dogs_allowed_source,accessibility_source,camping_source,caravan_source,electricity_source,showers_source,opening_hours,contact,website,google_place_id,osm_id,official_source,sources,source_urls,verification_status,confidence_score,last_verified,notes,possible_duplicate,duplicate_of_candidates
REC00001,(sense nom - OSM),,espai_lleure,mirador,,Priorat,la Figuera,Tarragona,41.2136797,0.7382287,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/365631931,no,font_cartografica,https://www.openstreetmap.org/node/365631931,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00002,Balconet,balconet,espai_lleure,mirador,,Priorat,Torroja del Priorat,Tarragona,41.2129664,0.8059644,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/366286317,no,font_cartografica,https://www.openstreetmap.org/node/366286317,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00003,(sense nom - OSM),,espai_lleure,mirador,,Priorat,la Figuera,Tarragona,41.2167991,0.7135984,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/649883077,no,font_cartografica,https://www.openstreetmap.org/node/649883077,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00004,Priorat,priorat,patrimoni,torre,,Priorat,la Figuera,Tarragona,41.2110019,0.7391634,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/769247605,no,font_cartografica,https://www.openstreetmap.org/node/769247605,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00005,(sense nom - OSM),,servei_puntual,font,,Priorat,la Figuera,Tarragona,41.2162242,0.7297793,osm,high,,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,OpenStreetMap (tag explicit),,,,,,,,,,,,,,,unknown,unknown,unknown,,node/769247771,no,font_cartografica,https://www.openstreetmap.org/node/769247771,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00006,(sense nom - OSM),,patrimoni,torre,,Priorat,la Figuera,Tarragona,41.2107118,0.7390406,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/769248227,no,font_cartografica,https://www.openstreetmap.org/node/769248227,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00007,(sense nom - OSM),,espai_lleure,mirador,,Priorat,la Figuera,Tarragona,41.210883,0.7390935,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/769248682,no,font_cartografica,https://www.openstreetmap.org/node/769248682,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00008,(sense nom - OSM),,espai_lleure,mirador,,Priorat,Cornudella de Montsant,Tarragona,41.2569199,0.9301804,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,node/1033684556,no,font_cartografica,https://www.openstreetmap.org/node/1033684556,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00009,Refugi de Siurana,refugi de siurana,acampada,refugi,,Priorat,Cornudella de Montsant,Tarragona,41.2585048,0.9329055,osm,high,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,unknown,unknown,https://refugisiurana.cec.cat,,node/1302476477,no,font_cartografica,https://www.openstreetmap.org/node/1302476477,verified_geometry_only,medium,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
REC00010,(sense nom - OSM),,servei_puntual,font,,Priorat,Marçà,Tarragona,41.1265135,0.8028152,osm,high,,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,high,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,OpenStreetMap (tag explicit),,,,,,,,,,,,,,,unknown,unknown,unknown,,node/1707620248,no,font_cartografica,https://www.openstreetmap.org/node/1707620248,unverified,low,2026-08-09,Font unica: OpenStreetMap. Equipaments no confirmats per cap font oficial/web encara: marcats 'unknown' fins a contrastar.,False,
